"","X","Comment","label"
"312",414,"در فاکتور من آدامس قید شده ولی تو وسایل رسیده به دستم چیزی نبود","Packaging"
"313",415,"سلام گوشت چرخ کرده اصلا تازه نبود بااین که تاریخ روز بود ولی مونده بود ورنگ سیاه و کدر به خودش گرفته بود ما به شما اعتماد میکنیم که محصولاتتون رو خریداری میکنیم لطفا پیگیری کنید واعتبار خودتون رو خدشه دار نکنید","Product"
"314",416,"من ۳ تا ابمیوه سفارش داده بودم یه دونه فرستادن
ساعت ۱۲ گفتن ارسال شده ۲ و ده دقیقه دستم رسید 
افتضاح دیگه سفارش نمیدم هیچی
متاسفم براتون","Product"
"315",417,"افتضاح 
خراب و بد 
از ٤ تا انار ٣ تاش افتضاح 
از دو كيلو نارنگي ٧ تاش خراب 
كاهو هم كلا دو تا خراب 
?","Product"
"316",418,"به عمرم با کسی مواجه نشده بودم انقدر بوی دود بده. نه تنها جلوی در خونه بوی دود شبیه سیگار گرفت، حتی کیسه‌ی خریدها که داخل ماشینش بوده چنان بوی دودی میداد که توی سطل زباله نذاشتیم و گذاشتیم بیرون از خانه!","Product"
"317",419,"سفارش من کامل ارسال نشد!!","Product"
"318",420,"فن باید به یه پایه وصل بشه که همینطوری رو هوا نمونه ولی اون قسمتش ارسال نشده و منقل ارسال شده ناقصه","Product"
"319",421,"با ۲ ساعت تاخیر ارسال شد
یکی از کالاها که سفارش داده بودم ناموجود شد (تلفنی اطلاع دادند)
یکی از کالاها را بدون هماهنگی کالای دیگری با قیمت پایین تر فرستادند که به آن نیازی ندارم و در تماس با پشتیبانی اسنپ، درخواست مرجوعی و بازگرداندن وجه دادم

متاسفانه معمولا خریدها و ارسال ها از هایپر استار تیراژه ۲ یک مشکلی داره","Product"
"320",422,"واقعا حالا که در این مملکت هرروز از روز قبل کیفیت پایین تر و قینتها بالا می روند ایا انصاف هست که شما چنین مخصولاتی را برای مشتری که لا اعتماد به انصاف شما، آنلاین خرید کرده است ارسال کنید؟
خودتون بهتر از من میتونید که محتویات قوطی که صربه خورده باسد قابل استفاده نیست. گوجه ها هم که در همان محصول درجه یک ارسالیتون هم لهیده است چه برسد به گوجه های جمع اوری شده ارسالی. 
لطفا در اسرع وقت برای عودت این محصولات کسی را بفرستید. من چهل هزار تومان پول رب گوجه فرنگی را داده ام. حالا بگم بخش لهیده گوجه ها را می برم و دور میریزم رب را که نمیتوانم.
لطفا تذکر بدهید به بخش بررسی کیفیتتون که از ارسال چنین محصولاتی که به نارصایتی بیش از پیش مشتریان قدیمی تون می انجامد خودداری کنند.","Product"
"321",423,"بجای نارنگی پیج مخلوطی از نارنگی های نوجود با کیفیت پایین بسته بندی شده بود همچنین موز کیفیت متوسط پایین داشت","Packaging"
"322",424,"سلام وقت بخیر 
لطفا روی امزش پیک بیشتر دقت بفرماید 
ممنون","Product"
"323",425,"تاریخ نان تست پروتین کم بود و تازه نبود","Product"
"324",426,"سلام وقت بخیر
بسته بندی شکر سوراخ شده‌گی آن کاملا مشهود است چرا با وجود آشکار بودن آنرا داخل یک پلاستیک دیگر گذاشته و برایم آورده‌اند و مقداری هم داخل پلاستیک ریخته شده آیا چون مشتری خودش حضور نداشته باید شکر ریخته شده را برایش بفرستند آیا این حق من مشتری است","Packaging"
"325",427,"سلام . وقت بخیر . متاسفانه اطراف پنیر کپک زده بود و قابل استفاده نبود","Product"
"326",428,"بسته بندی چسب خورده بود از تعداد ۱۲تایی یک بسته تعداد ۱۰ عدد موجود بود","Packaging"
"327",429,"انارها کاملا خشک وپرتقال ها اندازه گردو به نظر شما این پرتقالها رو میشه برای مهمان گذاشت هردفعه درمورد اشکال هست بنده مشتری ثابت هستم لطفا موقع انتخاب فرض کنید دارید برای خونه خودتون انتخاب می‌کنید","Product"
"328",430,"تاریخ تولید قدیمی","Product"
"329",431,"بنده مشتری همیشگی هستم تمام خرید های بنده زیر ۱میلیون نیست .
کیفیت بد جوجه ها و تیکه تیکه بودن .
بالا های زعفرانی همشون پر بهشون چسبیده .
نه میشه دوباره شست نه کاریش کرد .در نتیجه مجبور به بیرون ریخت این مسئولات شدیم . خیییییلی بد بود . ارم ۲ همیشه این مشکل رو برای جوجه ها و گوشت ها داره . تذکر بدید اه . دو روز پیش مایچه سفارش دارم اول که ۲ساعت دیر ارسال کردن دوم ماهیچه ها بوی خیلی بدی میداد.
سیب زمینی ها همشون ریز بودن","Product"
"330",432,"سلام وقت بخیر،
ماست هراز برای ماه گذشته ست و اصلا تازه نیست،
تره فرنگی زرد و پلاسیده ارسال شده،
سس کاله هم درش شکسته ??
و متاسفانه پیک هم بسته رو درب منزل واحد تحویل نداد","Packaging"
"331",433,"سلام، متاسفانه بعد از گذشت دوساعت پشتیبانی تماس گرفته که یکی از اقلام موجود نیست بعد راهنمایی نمیکنه که تو اون دسته کالای با کیفیت معرفی کنه، جنس بی کیفیت معرفی می‌کنه، شما باکیفیت معرفی مابه‌التفاوت بگیرید واقعا پشتیبانی ضعیف هستش، پیک طبق لوکیشن نمیتونه مسیر رو پیدا کنه من نیم ساعت داشتم تو خیابون ایشون رو با تلفن راهنمایی میکردم ، خرید اینترنتی برای راحتی مشتری هست اگر قرار باشه اینگونه مشکلات باشه به درد نمیخوره ، این بار اول نیست، خواهش میکنم رسیدگی کنید","Product"
"332",434,"کیفیت میوه ها میتونه بهتر باشه","Product"
"333",435,"کدو غیر قابل خوردن بود","Product"
"334",436,"این سه قلم ارسال نشده است.","Product"
"335",437,"لطفا پیک ها رو توجیه کنید که باید سفارش رو درب واحد تحویل بدن !!!
پیک حتی حاضر نیست سفارش رو توی آسانسور بذاره و بفرسته بالا ! اگر بنا باشد برای گرفتن سفارش حاضر بشم و برم توی کوچه خب ۴ قدم اون طرف تر میرم و خرید میکنم ! 
مرغ کهنه و مونده بود . تاریخ تولید و بسته بندی روی مرغ کنده شده بود و روش یه برچسب جدید نصب شده بود ! خجالت آوره واقعا","Product"
"336",438,"دروود بهتون ،سری قبل شب یلدا تخمه ای که سفارش دادم مخصوصا تخمه محبوبی خیلی خوب بود ولی متاسفانه امروز وقتی دستم رسید از روز بسته متوجه شدم کیفیت قبل رو نداره و وقتی بازش کردم از نصف بسته تخمه یه مشت تخمه پوک و نصف شده جمع کردم ،و من امشبم تولد پسرم بود و مهمون دارم و متاسفانه کیفیت تخمه هاتون مخصوصا محبوبی خیلی بد بود تخمه کدو یکم نم داره برشته نیست و تخمه محبوبیتون هم بی کیفیت هم کلی خاک داره هم خیلی پوک داره و متاسفانه پشیمون شدم که ایندفعه برای مهمونی اعتماد کردم و از اینجا خریدم ،در صورتی که اولین چیزی که مهم کیفیت محصولات که اعتماد جلب بشه و مجدد خرید انجام بشه فقط قرار نیست هر برندی که روی دست مغازه دار مونده باشه بفروش بره و برای خرمایی هم که لابد موجودی نداشتین یه سوال میکردین که اگر اون تموم شده بود شاید جایگزین یکی دیگه رو انتخاب میکردم چون یه بسته برای امشب که مهمون دارم جوابگو نیست ،و واقعا از خرید امروزم اصلا راضی نبودم","Product"
"337",439,"واقعا افتضاح بود کیفیت گوشت","Product"
"338",440,"فاکتور برای اولین بار تو محصول نبود. 
هدیه یا فایرپاور هم نبود. هر روز بدتر ار دیروز با اسنپ مارکت.","Product"
"339",441,"ماست تاریخ گذشته ارسال شده، واقعا متاسفم، سریعا پیگیری کنید","Product"
"340",442,"موز سبز و نارس تحویل دادید

همه موزا سبزه","Product"
"341",443,"پاره بودن بسته بندی میگو ب.آ (شکسته شدن ظرف از کف )که در نقاط ضعف هم نوشتم الان مشکلم اینه واقعا نمیدونم چطوری خودمو راضی کنم که الان میگو های داخلش آلوده میکروبی شدن یا نه؟ چون پارگی در حدی نبود که میگو ها بیرون بریزه ولی میتونه خیلی راحت باکتری و میکروبهای محیط و سطوح به داخلش نفوذ کرده باشه","Delivery"
"342",444,"ماهیتابه کاملا آسیب دیده و ایراد دار هست","Product"
"343",445,"بخشی از جوانه گندم ریخته بود در کیسه بزرگ، سلوفنش پاره شده بود فکر کنم اگه مواد سلفون‌پیچ در کیسه فریزر کوچک باشن بهتره. در کل سپاس باقی موارد عالی بودن","Packaging"
"344",446,"یعنی متاسفانه با ارسالی که دیروز برام داشتید و با تاخیر ۳ ساعته دیگه عمرا از اسنپ خرید کنم . متاسفم که به شعور مخاطب خودتون احترام نگذاشتید اگر قرار بود بین بازه ۱۴ تا ۱۷ ارسال شه چرا من ساعت ۲۱.۱۵اون رو تحویل گرفتم","Product"
"345",447,"چرا ضد آفتاب ارسال شده پلمپ نبود ؟؟!!!","Packaging"
"346",448,"قیمت فاکتور ارسال شده 
با فاکتور اپلیکیشن مغایرت دارد","Packaging"
"347",449,"کره ارسال نشده","Product"
"348",450,"واقعا من باید ساعت ۷:۱۵شب تحویل بگیرمممم تاسف که من برنامه هام بخاطر دیر ارسال کردن شما بهم خورد ...همبرگر آب شده کاملا چیپس که له فرستادین فقط پیکتون خوب بود","Product"
"349",451,"نبود کالا وکنسلی از طرف فروشگاه","Product"
"350",452,"مطمئن باشید اگر فردی بتونه بره بیرون از خونه خرید کنه حتما میره فروشگاه نزدیک خونش به پیک ها تون تاکید کنید هر طور هست سفارش رو درب منزل تحویل بدن 
**من در خونه رو روی بچه یک ساله بستم رفتم خیابون پایینی سفارشم و تحویل گرفتم توی این سرما**","Product"
"351",453,"محصول پوست کنی شده بود ولی تمیز نبود،پر از چربی بود","Packaging"
"352",454,"سلام متاسفانه پیتزا بسیار بی کیفیت بود و نان بیات داشت، متاسفم برای برندی مثل پمینا و من که این انتخاب را داشتم...??","Product"
"353",455,"درب ماست وپاستیل شکسته","Packaging"
"354",456,"سلام 
پیک دیروز بسته های منو داخل آسانسور خونه گذاشته و تلفن زد بسته ها رو از داخل آسانسور بردارم 
علاوه بر کثیفی بسته ها که روی زمین گذاشته بود وقت منو هم گرفت","Product"
"355",457,"پیک فوق العاده بی مسئولیت و بی ادب و بی شخصیت بود رفتار نامناسبی داشت بی احترامی کردند.","Product"
"356",458,"لفافه نبات پاره شده است","Packaging"
"357",459,"سلام وخداقوت بشماعزیزان.
ی مورد فقط مغایرت داشت.سایزکوچک ارسال شده بود.باتشکر","Packaging"
"358",460,"متاسفانه پیک جعبه حمل بار نداشت و بعد از تحویل و رفتن پیک متوجه شدم بدلیل اینکه کیسه ها در موقع حرکت موتور سیکلت به چرخ آن ساییده شده و کاملاً آسیب دیده بودند . خواهشمندم چون این نو سفارشات حساس و احتمال فاسد شدن آنهاوجود داره دقت بیشتری در انتخاب پیک داده بشود.","Product"
"359",461,"مایع فوم بازبود تایدارو خراب کرده بود","Product"
"360",462,"لطفا کالاهایی که موجود نیست را از سایت حذف کنیدکه بعداز سفارش کنسل نکنید","Product"
"361",463,"مایع نرم کننده درش شل بود با اینکه مثلاً دورش چسب پیچیده بود و ریخته بود داخل نایلون و بخشی ازش هدر رفت داخل کیسه?","Packaging"
"362",464,"پنیر و سس های خریداری شده پنج ماه از تاریخ تولیدشان گذشته بود و تنها یک ماه دیگر به انقضا مانده و این درست نیست که اجناس در انبار مانده را به اسم تخفیف بفروشید","Product"
"363",465,"روی کالا قیمت 39500تومان قیمت زده شده ولی69500فروخته شده","Packaging"
"364",466,"متأسفانه لیوان همراه مسافر مطابق عکس محصول نبود. من لیوان رنگی میخواستم. همونطور که در فروشگاه دیدم. لطفاً در مورد مرجوعی راهنمایی بفرمایید. متشکرم","Product"
"365",471,"یه فروشگاه به مسولیت و ارائه خدمات بد.امیدوارم آخرین سفارش من باشه","Product"
"366",472,"خرابی کامل نارنگیها","Product"
"367",473,"یکی از تخم مرغ ها شکسته بود، اسنپ بسته را درب واحد تحویل نداد و درخواست داشت که در آسانسور بزاره","Packaging"
"368",474,"دوغ کفیر درتوضیح زده بود بدون گاز،ولی چیزی که من تحویل گرفتم بشدت گازدار بود","Product"
"369",475,"از ۴ عدد فقط یک عدد نی دارد بقیه نی ندارد موندم چطور می شود بیرون از منزل بدون نی از نوشیدنی استفاده کرد ؟!","Product"
"370",476,"یک قلم از ارسال نشده بود","Product"
"371",477,"سلام خریدم راجلودرب ساختمون گذاشته رفته","Packaging"
"372",478,"سلام
من تو خريدام بقيه چيزا هميشه سالم ميرسه
ولي خوراكي رو خرد شده وله شده اومده
تو اين خريدم بستني زمستوني له شدن چون شيشه سس پيش بستني ها بود
لطفا خوراكي تو نايلون جدا بزاريد
سري بيش هم اسنك يامي خرد شده بود","Product"
"373",479,"کافی میکس دو تا سفارش دادم،یکی تحویل دادن 
پاستیل ۹۰ گرمی هم توی تحویلی ها نبود","Product"
"374",480,"لطفا کلم بروکلی که خراب شده و کاملا تغییر رنگ داده رو نفرستید
حتی ساقش شل شده و بو گرفته بود
در این حد مونده بود
واقعا جالب نبود کارتون 
من مشتری دائم شمام و چک کنین حداقل هفته چندتا سفارش دارم ولی این دفعه افتضاح بود و مستقیم انداختم سطل آشغال","Product"
"375",481,"سلام متاسفانه کرم که به دستم رسیده بود درب آن باز بود و ریخته بود","Packaging"
"376",482,"یه قلم از کالاهام حذف شد ه بود
گارانتی لامپها چند ماه از تاریخشون گذشته بود","Product"
"377",483,"به علت بسته بندی نامناسب مقداری از مایع نرم کننده درون کیسه ریخته بود","Packaging"
"378",484,"قیمت مرغ روش ۱۱۸.۴۲۲ درج شده
فاکتور ۱۲۴.۵۰۰ درج شده
مابه التقاوت ۶.۱۰۰ تومان","Price"
"379",485,"بسته پنیر پیتزا خاکی بود،،،
حتما زمین افتاده،،،

چند وقت پیش هم مثل این بود که قوطی خامه لگد شده،،
در ضمن یخ داخل کیسه هم آب شده بود و پاره بود،،
و خامه توی اون آب یخ خیس خورده بود،،
البته اطلاع داده بودم به پشتیبانی ،
اما پنیر پیتزای امروز هم خاکی شده بود!!!!!!","Packaging"
"380",486,"بدون پالم سفارش دادم کم جذب برام ارسال شده (بدون هماهنگی)","Product"
"381",487,"هر کدام از مرغها کمتر از ۱۴۰۰ گرم بود یکی از اونها که نزدیک صدگرم کوچکتر بود","Product"
"382",488,"روکش آلومینیومی یکی از کره ها پاره شده بود 
و مجبور شدیم کره فوق را به دور بریزیم
دقت کنید ، اگه پول کسی کم باشه شما مجانی کالا بهش می دهید .
پس دقت کنید کالای معیوب ارسال نکنید","Product"
"383",489,"سلام، تعداد ۳ عدد از تخم‌مرغ ها شکسته بود","Packaging"
"384",490,"با سلام و ادب. بنده همیشه از اسنپ مارکت خرید میکنم حداقل در ماه سه بار با اکانت خودم و اعضای خانواده، توی آخرین خرید متاسفانه یکی از روغن ها دربش پلمب نبود گمان می‌کنم توی بار زدن یا توی مجموعه ضربه دیده و از نظر بهداشتی واقعا خوب نیس. همچنین خرما ی مقدار از دربش باز بود و واقعا خرماها بشدت خشک و بد بود","Product"
"385",491,"کیفیت پایین محصولات و مغایرت تصویر کالا با محصول فرستاده شده","Packaging"
"386",492,"سلام تشکر از امکان خرید امن که فراهم کردید و انتقاد به عملکرد ضعیف نسبت به تحویل خرید در زمان درج شده که با وجود نزدیکی محل سکونت ما به هایپر صبا بسیار دیرتر از موعد با پیگیری بنده بدستم رسید","Product"
"387",493,"کیفیت نارنگی ها بسیار بسیار بد بود نارنگی ها فوق العاده کوچک بودند و سیب ها هم کیفیت خوبی نداشته","Product"
"388",494,"کالای شکلات از قسمت انتها باز شده بود و تو کیسه ریخته بود نشاسته هم خیلی خرد شده و مقداریش مثه آرد شده","Packaging"
"389",495,"خرما ها شکرک زدگی دارند","Product"
"390",496,"قیمت روی جلد کالا پوف کرمی کوچک 540750هست ولی با تخفیف 639000ریال فروش داشته ،این علت مغایرت قیمت روی جلد وقیمت خرید آنلاین جالب نیست","Product"
"391",497,"نرم کننده مو کاملا ریخته بود داخل کیسه و به لبه خود اسپری کلی ماسیده بود
پاکت شیر کاملا اسیب دیده بود
و درب گوش پاک کن کودک باز بود 
اولین باره خرید من از هایپر استار انقدر با کیفیت پایین رسیده دستم","Packaging"
"392",498,"قیمت محصول هر کدام ۱۰هزار تومن کمتر میباشد","Product"
"393",499,"سلام 
مغايرت كالاتخم مرغ زرده طلايي باروكة مقوايي باتخم مرغ زمستاني
وگوشت رأسته به جاي ٢تكه٤تكه بودوبجاي گوشت بيشترش استخوانًبودحتمابه شركت پوياداده شود.
ازرسيدگي شمامتشكرم","Product"
"394",500,"بیسکویت خرد شده، تحویل شده","Packaging"
"395",501,"لطفا وقتی ما کالایی رو خریداری می کنیم بعدش زنگ نزنید بگید موجودیش تموم شده همون اولش کنار بزارید","Product"
"396",502,"جرمگیر ریخته بود تو کیسه و من طبق عادت کیسه ها رو گذاشتم روی سینک کمی آسیب دید.","Packaging"
"397",503,"در شیشه پاک کن شکسته است و غیر قابل استفاده","Packaging"
"398",504,"متاسفانه کالای بسته ۱۰۰عددی ویفرکرم دار شیروفندق هیت شیرین عسل ۲۵ گرمی با کالای ارسالی مغایرت دارد واین برای چندمین بار است که این مشکل پیش آمده لطفاً پیگیری نمایید و مشخصات اقلام سایت رو به درستی درج کنید 
کالایی که بنده تحویل گرفتم که ناقص هم هست ۹۳ عدد ویفر ۵ گرمی است و ۲۵ گرمی نیست و من باتوجه به مشخصات سایت شما خرید کردم و از این بابت خیلی ناراحت شدم . برخورد پیک محترمانه بود","Product"
"399",505,"پک گوشت از کنارش تمام خون آبش ریخته شده بود کف کیسه با اب پک یخ مخلوط شده و خیلیی ظاهر بد و کاملا کف ظرف خونی بود. و کف خود ظرف گوشت پر از خون بود و گوشت هم کیفیت لازم را نداشت. و یک تیکه آن لکه بزرگ سیاهی داشت. که عکس ان ارسال خواهد شد.و متاسفانه تاریخ گوشت هم برای روز ۱۵ بود","Packaging"
"400",506,"متاسفانه بازهم مغایرت قیمت همچنین بسته بندی ضعیف که باعث اسیب کالاهاشده","Product"
"401",507,"با توجه به برچسب های قرمز رنگ چسبیده شده روی بسته بندی مرغ ها جمعا ۶۰۷۵۶۲ تومان میباشد در صورتیکه روی فاکتور مبلغ ۶۲۲۷۰۰ تومان میباشد که مبلغ ۱۵۲۰۰ تومان بیشتر فاکتور شده است، لطفا رسیدگی و تماس با بنده داشته باشید..ممنونم","Product"
"402",508,"اصلا چیزی که من سفارش داده بودم نبود","Product"
"403",509,"سلام و عرض ادب سفارش بسته سینه مرغ بسیار بد و چربی های اضافه بهش بود. هیچ موقع سینه مرغ که سفارش داده بودم به این بدی نبود. خواهشمندم از اعتماد مشتری سو استفاده نفرمایید.","Product"
"404",510,"سلام، همه گوجه ها خراب شده و باید در سطل زباله ریخته شود. نصف پرتقال‌ها کهنه و ناسالم هستند. 
موزها کیفیت بالا ندارند. 
این درست نیست ک در این گرانی چنین گوجه هایی ارسال شود و پرتقال‌ آبگیری ک گران عرضه میشود نباید به این شکل باشد","Packaging"
"405",511,"سلام میوه فیسالیس خرید امروز خشکیده، پلاسیده و بیسار کوچکتر از حد معمول بود لطفا رسیدگی بفرمایید متشکرم","Product"
"406",512,"پنیر پیتزایی که سفارش دادم با چیزی که برام فرستادن فرق داشت ودر بسته باز بود. خیلی بی کیفیت هستش","Product"
"407",513,"روی نارگیل و داخل پوست آن کپک زده و از بوی بدش قابل خوردن نیست.","Product"
"408",514,"درب مایع نیمه باز بود و حجم زیادی از مایع بیرون ریخته","Packaging"
"409",515,"پنیر پیتزایی که در تصویر بود و انتخاب کردیم برند ۲۰۶بود ، اما جنسی که ارسال شده است یک برند دیگری هست","Product"
"410",516,"بسته بندی نامناسب است
همه پلاستیک ها به هم گره زده میشه نمیشه برداشت و از کوچه اورد داخل من دیسک کمر هم دارم هر بار خرید می کنم با مشکل مواجه میشم","Product"
"411",517,"چندتا از کالاهایی که سفارش داده بودم از سبد حذف شد. با این حال باز یه ماست اشتباه فرستادن","Product"
"412",518,"سیب زرد، سبز
موز زرد، سبز
نارنگی ، ریزه","Product"
"413",519,"این خرما کلا قندک زده بود واقعا توقع نداشتم مگه یک کنترل کیفیت ندارید که کالای مشتری رو کنترل کنه","Product"
"414",520,"پنیر پیتزا پروسس سفارش داده بودم به جاش پنیر پیتزا تاپینگ فرستادن","Product"
"415",521,"یکی از تخم مرغ ها شکسته بود و ریخته بود","Packaging"
"416",522,"پیک مودبانه صحبت نکرد بسیار عصبانی بود بسته ها را جلو در گذاشته بود و از پشت ایفون و همینطور تلفن خیلی بد صحبت کرد","Product"
"417",523,"این کالا شکسته بود اما باز چسب زده شده و ارسال شده","Packaging"
"418",524,"سس فلفل زرد کاملا فاسد بود و تاریخ انقضا پاک کرده بودید که روش کثیفیه، سس چیلی ام دلوسه سفارش داده بودم که سس چیلی هاپر استار فرسادید که دو ماه بیشتر به تاریخ انقضاش نمونده که در حال فساده، با این حساب خرید آخرم از مجموعه هایپر استاره، موفق باشید","Product"
"419",525,"نان تست فرستاده نشد","Product"
"420",526,"نات ارسال شده با عکس تفاوت داشت.یه نان باگت بود که نصف شده بود.زیاد هم کیفیت نداشت","Packaging"
"421",527,"شیر تاریخ مصرف گذشته فرستادن","Product"
"422",528,"متأسفانه همیشه دیر از موعد تحویل شده و هر بار هم یه بهونه ای داشتید که هیچ کدومش قابل قبول نیست","Product"
"423",529,"پنير پيتزا خيلي بد شده بود له وآب شده..تموم چهارگوشه ي پنير آب شده وبد فرم واز فرم پنير پيتزا خارج شده بود وبيشتر شبيه خامه شده...فقط سريعا گذاشتم فريزر ولي اونجوري كه ميخاستم نميشه..","Packaging"
"424",530,"مایع دستشویی داخل پلاستیک ریخته شده بود و شماره موبایل داخل فاکتور شماره ای نبوده که با اون سفارش ثبت شده و بنده خدا پیک شاکی شده بوده که چرا با شماره خاموش سفا ش ثبت می کنید و ...
این مشکل سایت یا اپ هست.بنده خدا می گفت ۱.۳۰ داخل ماشین معطل شدم","Packaging"
"425",531,"سلام.بنده الان یک سفارش از هایپر باکری داشتم 
بین اقلام کره بادام زمینی سفارش داده بودم 
که وقتی در ظرف رو باز کردم متاسفانه با انگشت پاره شده بود و از ظرف برداشته شده بود!","Delivery"
"426",532,"من اقلام دیگه ای هم سفارش داده بودم ولی نیاوردن
به هربخشی زنگ‌میزنم یه تلفن دیگه میدن
از کی باید پیگیری کنم؟؟؟؟؟؟؟","Product"
"427",533,"کیسه بسته بندی پاره شده بود","Packaging"
"428",534,"درود بر شما
نوشیدنی ویتامین سی در فاکتور 14900 قید شده ولیکن قیمت آن بر روی محصول 11800 تومان بود...","Product"
"429",535,"کاملا مشخصه که کالاهای هدیه برداشته میشه ، البته برای مردم گرسنه چیز غیر عادی نیست","Product"
"430",536,"مغایرت قیمت محصول شامپو ضدشوره با قیمت مصرف کننده در حدود ۱۰ هزار تومان و خورده ای برای اعتبار این فروشگاه با تخفیفهای خوبی که بر روی محصولاتش میگذارد اصلا جالب نیست. 
با تشکر از سیستم نظارت اسنپ و همچنین مدیریت فروشگاه هایپراستار.","Price"
"431",537,"باسلام
متاسفانه به جای دیپ پنیر بلو؛ دیپ پنیر چدار ارسال شده بود

عکس آپلود نمی‌شود اگر مقدور هست شماره واتساپ بفرستید عکس ارسال کنم","Product"
"432",538,"کرفس مونده بود و کاهو هم بیشتر برگش رو ریختم دور .. کلفت و بی کیفیت بود ولی برای غذای گوسفند با کیفیت بود.","Packaging"
"433",539,"با عرض سلام و خسته نباشید 
یه چند ماهی هست کیفیت محصولات هایپراستار به شدت افت کرده،خصوصا،میوه و سبزیجات که واقعا افتضاح شده در خرید امروز نبات ارسالی چندسال مونده این رنگ کدر رو داره دوناتها کاملا خشک و بیات و کلم قرمز افت زده","Product"
"434",540,"یک تن ماهی کم ارسال شده بود !!","Packaging"
"435",548,"تاریخ بیسکوییت برای اوایل برج ۳ بود یعنی ۶ ماه پیش و شیر دو روز پیش
و کره جزء کوپن هدیه باید ۱۶ تومن حساب میشد.با تشکر","Product"
"436",549,"سلام متاسفاته ۵و۶ تا از تخم بلدرچینها ترک دار شکسته وبوی بد داشت و تاریخ تولیدش هم معلوم نبود لطفا قبل از ارسال چک بشه بعد بفرستن با این قیمتهای بالا ضرره برای مشتری","Packaging"
"437",550,"سه تا از لامپها روشن نمیشوند","Product"
"438",551,"سلام
ببخشید چرا کم فروشی میکنید
ساق رون مرغ که ارسال کردین
گذوشتم رو ترازو دیجیتال
۱۶۵۰یک کیلو ششصدوپنجاه
گرم هست تازه با طرفش
این چه کاریه 
جرم محسوب میشه
واقعا که اون بیچاره هایی که باسکول نمیکنند،بعنوان ۲دوکیلو،،نیم کیلو کم میفروشین","Product"
"439",552,"عزیز دل اقلام من ۹ قلم هستن نه ۸ قلم که یکیش روغن غنچه ۸۱۰ گرمی هستش چطور از لیست سفارش من پاکش کردین و قیمتش رو کشیدین روی بقیه اقلام این رفتارتون رو نمیدونم باید چی در نظر بگیرم ولی به لطف شما اولین خریدم شد آخرین ....","Product"
"440",553,"از تخم مرغ ۱۵ عددی ۶ عدد شکسته بود","Packaging"
"441",554,"چندین ساعت پس از خرید، از پشتیبانی تماس گرفتند و گفتند یک قلم (اصلی) تمام شده. در ماههای اخیر چندمین بار است این اتفاق می افتد. حداقل، باید همزمان با اتمام کالا، بلافاصله یا با فاصله خیلی کم، کالا را از روی اپلیکیشن حذف کنید، تا خریدار در فرصت مناسب خودش طور دیگری تصمیم بگیرد.","Product"
"442",555,"بسته بندی پاره ویفر همش خورد بود","Packaging"
"443",556,"همه پلاستیک ها به هم گره زده میشن
قبلا هم نوشتم من دیسک کمر دارم نمی تونم بار سنگین بردارم پیک هم اسنپ باکسه نمیاره داخل حیاط وسط کوچه از وانت می ذاره پایین و میره 
تماس هم گرفتید دوباره گفتم اما کارشناس گفت به خاطر این که خرید ها گم نشه به هم گره می زنن 
ایا راه دیگه ای نداره؟
از دیجی کالا یاد بگیرید کارتن می کنه خیلی شیک و با کلاس میارن 
بسته بندی ماکارونی سالم بود مجبور شدم یکیشو انتخاب کنم تا تایید و ارسال فعال بشه اینم یه اشکال فرم نظر خواهیه که مجبور می کنه دروغ بنویسی","Product"
"444",557,"با سلام و احترام
پچ پچ کاکایویی پک ۸ عددی خریداری،شده بود. ولی ۹ عدد فرستاده بودند.
خواهشمندم مبلغ پچ پچ اضافه فرستاده شدا رو از اعتبار کم کنید.
متشکرم","Product"
"445",558,"تعداد کروسان ارسالی با مغز کرم توت فرنگی ۷ عدد بود، در صورتی که تعداد ۸ عدد سفارش داده شده بود.","Packaging"
"446",559,"سفارش برنج ایرانی طارم محلی دادم ولی برنج ایرانی پر محصول جی ال ارسال شده است.متاسفانه برای دومین مرتبه این موضوع تکرار شد.","Product"
"447",560,"۲۰ تا کروسان کهنه رو میخورم و دعاتون میکنم ?","Product"
"448",561,"سلام 
با ۵۵ درصد تخفیف عسل ،قیمتش با قیمت درج شده روی محصول هماهنگ نیست","Product"
"449",562,"از ۱۵ تا تخم مرغ ۸ تاش شکسته بود‌.چه وضعشه آخه","Packaging"
"450",563,"چیپس ترکیده بود و پاره شده 
عکسش موجوده","Packaging"
"451",564,"سلام متاسفانه بسته بندیتان بسیار ضعیف است و اکثرا سفارش های من آسیب می بینند لطفا از کارتن استفاده فرمایید .اگر اینچنین هر دفعه یه اشکالی برای بارهایم پیش بیاید ناچارا دیگر از شما خرید نخواهم کرد .لطفا رسیدگی فرمایید .ممنون","Product"
"452",565,"لطفا اجناس ارسالی دارای تاریخ انقضای مناسب باشد و کالا با تاریخ نزدیک به انقضا ارسال نشود.کشک ارسالی در سفارش من از دو ماه تاریخ انقضا فقط ۱۵ روز تا انقضا معتبر است","Product"
"453",566,"قهوه شکسته بود و پشتیبانی ضعیف برای مرجوعی","Packaging"
"454",567,"پیک بسته را در آسانسور ساختمان ۴۰ واحدی رها کرده بود و رفته بود و بعد از حدود ۳ ساعت توسط یکی از همسایه و پرس و جوی او به ما رسید.","Product"
